pathway	cells	BTO	treatment	effect	time	comment	GSE	norm	GPL
GSE28645	Estrogen	LY2 breast cancer cell line	BTO:0000356	treated with tamoxifen	inhibiting	2 h	4 replicates each, contain control siRNA, tamoxifen acts as antagonist in breast cell lines	GSE28645	log	GPL570
GSE3013a	Estrogen	endometrial epithelial cells	BTO:0001422	treated with estradiol	activating	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL91
GSE3013b	Estrogen	endometrial epithelial cells	BTO:0001422	treated with estradiol	activating	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013c	Estrogen	endometrial epithelial cells	BTO:0001422	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013d	Estrogen	endometrial epithelial cells	BTO:0001422	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL91
GSE3013f	Estrogen	endometrial epithelial cells	BTO:0001422	treated with estradiol	activating	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013h	Estrogen	endometrial epithelial cells	BTO:0001422	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL91
GSE3013i	Estrogen	endometrial epithelial cells	BTO:0001422	treated with estradiol	activating	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013j	Estrogen	endometrial epithelial cells	BTO:0001422	treated with estradiol	activating	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013k	Estrogen	endometrial epithelial cells	BTO:0001422	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013l	Estrogen	endometrial epithelial cells	BTO:0001422	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE30931	Estrogen	MCF-7 breast cancer cell line	BTO:0000093	treated with estrogen	activating	6 h	3 replicates each	GSE30931	log	GPL10558
GSE35287a	Estrogen	endometrial fibroblasts	BTO:0001422	treated with E2	activating	6 h	1 replicate each, 4 donors	GSE35287	normalized	GPL6244
GSE35287b	Estrogen	endometrial fibroblasts	BTO:0001422	treated with E2	activating	6 h	1 replicate each, 4 donors	GSE35287	normalized	GPL6244
GSE35287c	Estrogen	endometrial fibroblasts	BTO:0001422	treated with E2	activating	6 h	1 replicate each, 4 donors	GSE35287	normalized	GPL6244
GSE35287d	Estrogen	endometrial fibroblasts	BTO:0001422	treated with E2	activating	6 h	1 replicate each, 4 donors	GSE35287	normalized	GPL6244
GSE3834a	Estrogen	MCF-7 cells	BTO:0000093	treated with 10 nM estradiol	activating	1 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL96
GSE3834b	Estrogen	MCF-7 cells	BTO:0000093	treated with 10 nM estradiol	activating	2 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL96
GSE3834c	Estrogen	MCF-7 cells	BTO:0000093	treated with 10 nM estradiol	activating	4 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL96
GSE3834d	Estrogen	T47-D cells	BTO:0001248	treated with 10 nM estradiol	activating	1 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL570
GSE3834e	Estrogen	T47-D cells	BTO:0001248	treated with 10 nM estradiol	activating	2 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL570
GSE3834f	Estrogen	T47-D cells	BTO:0001248	treated with 10 nM estradiol	activating	4 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL570
GSE3834g	Estrogen	BT-474 cells	BTO:0001932	treated with 10 nM estradiol	activating	2 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL570
GSE3834h	Estrogen	BT-474 cells	BTO:0001932	treated with 10 nM estradiol	activating	4 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL570
GSE5258Est	Estrogen	MCF-7 cells	BTO:0000093	treated with 10 nM estradiol	activating	6 h	1-2 replicates each	GSE5258	none	GPL96
GSE9936a	Estrogen	MCF-7 cells	BTO:0000093	treated with 6 nM estradiol	activating	4 h	3 replicates each, different treatments, contain control vectors	GSE9936	log	GPL96
GSE9936b	Estrogen	MCF-7 cells	BTO:0000093	treated with 6 nM genistein	activating	4 h	3 replicates each, different treatments, contain control vector	GSE9936	log	GPL96
GSE9936c	Estrogen	MCF-7 cells	BTO:0000093	treated with 300 nM genistein	activating	4 h	3 replicates each, different treatments, contain control vector	GSE9936	log	GPL96
GSE21800a	H2O2	4 lymphoid cell lines pooled	BTO:0001586	treated with 9 µM H2O2	activating	4 h	1 replicate each, timerespective control	GSE21800	none	GPL6244
GSE21800b	H2O2	4 lymphoid cell lines pooled	BTO:0001586	treated with 90 µM H2O2	activating	4 h	1 replicate each, timerespective control	GSE21800	none	GPL6244
GSE21800c	H2O2	4 lymphoid cell lines pooled	BTO:0001586	treated with 900 µM H2O2	activating	4 h	1 replicate each, timerespective control	GSE21800	none	GPL6244
GSE22463a	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463b	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463c	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463d	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463e	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463f	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463g	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463h	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463i	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463j	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463k	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463l	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463m	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463n	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463o	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463p	H2O2	PBMCs from >50 year old female	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE5339a	H2O2	ATCC 16Lu ( human lung fibroblasts)	BTO:0000764	H2O2 treatment	activating	1 h	timeseries 1, 4, 12, 24 h	GSE5339	nolog	GPL571
GSE5339b	H2O2	ATCC 16Lu ( human lung fibroblasts)	BTO:0000764	H2O2 treatment	activating	4 h	timeseries 1, 4, 12, 24 h	GSE5339	nolog	GPL571
GSE1056	Hypoxia	Hep3B cells	BTO:0000972	treated with 1% oxygen hypoxia	activating	2 h	2 replicates each	GSE1056	none	GPL91
GSE17188a	Hypoxia	MDA-MB-231 LM2 cells	BTO:0000815	treated with 1% oxygen hypoxia	activating	6 h	2 replicates each, different cell lines	GSE17188	log	GPL6480
GSE17188b	Hypoxia	MDA-MB-231 SCP2 cells	BTO:0000815	treated with 1% oxygen hypoxia	activating	6 h	2 replicates each, different cell lines	GSE17188	log	GPL6480
GSE18494a	Hypoxia	HepG2 cells	BTO:0000599	treated with 0.5% oxygen hypoxia	activating	4 h	3 replicates each, different cell lines	GSE18494	normalized	GPL9419
GSE18494b	Hypoxia	U87 cells	BTO:0002036	treated with 0.5% oxygen hypoxia	activating	4 h	3 replicates each, different cell lines	GSE18494	normalized	GPL9419
GSE18494c	Hypoxia	MB231 cells	BTO:0000815	treated with 0.5% oxygen hypoxia	activating	4 h	3 replicates each, different cell lines	GSE18494	normalized	GPL9419
GSE19123	Hypoxia	MCF-7 cells	BTO:0000093	treated with 1% oxygen hypoxia	activating	4 h	5 replicates each	GSE19123	normalized	GPL570
GSE25452	Hypoxia	HEK293 cells	BTO:0000007	treated with 1% oxygen hypoxia	activating	2 h	2 replicates each, contain control vector	GSE25452	normalized	GPL5188
GSE27813	Hypoxia	MCF-7 cells	BTO:0000093	treated with 1% oxygen hypoxia	activating	6 h	2 replicates each, contain control shRNA	GSE27813	normalized	GPL10558
GSE28603a	Hypoxia	SGBS adipocytes	BTO:0000443	treated with 1% oxygen hypoxia	activating	3 h	3 replicates each, part of timeseries	GSE28603	none	GPL570
GSE28603b	Hypoxia	SGBS adipocytes	BTO:0000443	treated with 1% oxygen hypoxia	activating	6 h	3 replicates each, part of timeseries	GSE28603	none	GPL570
GSE33521	Hypoxia	HeLa cells	BTO:0000567	treated with 1% oxygen hypoxia	activating	6 h	2 replicates each	GSE33521	normalized	GPL6480
GSE5258	Hypoxia	MCF7 cells	BTO:0000093	treated with 0.1mM cobalt chloride	activating	6 h	3 replicates each, cobald cloride induces HIF1	GSE5258	none	GPL96
GSE22325	IL1	HUVECs	BTO:0001949	treated with 100U IL-1b	activating	4 h	1 replicate each	GSE22325	log	GPL570
GSE32390a	IL1	skin fibroblasts	BTO:0001255	treated with 20 ng/ml IL-1b	activating	4 h	1 replicate each, 3 donors	GSE32390	normalized	GPL10558
GSE32390b	IL1	skin fibroblasts	BTO:0001255	treated with 20 ng/ml IL-1b	activating	4 h	1 replicate each, 3 donors	GSE32390	normalized	GPL10558
GSE32390c	IL1	skin fibroblasts	BTO:0001255	treated with 20 ng/ml IL-1b	activating	4 h	1 replicate each, 3 donors	GSE32390	normalized	GPL10558
GSE8515IL1	IL1	Human monocyte-derived macrophages	BTO:0000801	with IL-1 (15 ng/ml)	activating	4 h	5 replicates each	GSE8515	log	GPL96
GSE9120a	IL1	Cultured epidermal keratinocytes	BTO:0000667	treated with 25 ng/ml human recombinant IL-1	activating	1 h	NA	GSE9120	log	GPL571
GSE9120b	IL1	Cultured epidermal keratinocytes	BTO:0000667	treated with 25 ng/ml human recombinant IL-1	activating	4 h	NA	GSE9120	log	GPL571
GSE973a	IL1	HUVEC	BTO:0001949	treated with 100 U/ml human IL-1	activating	0.5 h	timeseries 3 timepoints	GSE973	log	GPL96
GSE973b	IL1	HUVEC	BTO:0001949	treated with 100 U/ml human IL-1	activating	1 h	timeseries 3 timepoints	GSE973	log	GPL96
GSE973c	IL1	HUVEC	BTO:0001949	treated with 100 U/ml human IL-1	activating	2.5 h	timeseries 3 timepoints	GSE973	log	GPL96
GSE21727	Insulin	trabecular bone cells	BTO:0001700	treated with IGF-1	activating	2 h	3 replicates each	GSE21727	normalized	GPL6104
GSE21989a	Insulin	HUVECs	BTO:0001949	treated with Insulin	activating	0.66 h	1 replicate each, part of timeseries	GSE21989	normalized	GPL570
GSE21989b	Insulin	HUVECs	BTO:0001949	treated with Insulin	activating	1.66 h	1 replicate each, part of timeseries	GSE21989	normalized	GPL570
GSE21989c	Insulin	HUVECs	BTO:0001949	treated with Insulin	activating	3.33 h	1 replicate each, part of timeseries	GSE21989	normalized	GPL570
GSE21989d	Insulin	HUVECs	BTO:0001949	treated with Insulin	activating	5.66 h	1 replicate each, part of timeseries	GSE21989	normalized	GPL570
GSE24422a	Insulin	hMSC adipocytes, mixed fraction	BTO:0003298	treated with 20 nM Insulin	activating	5 h	2 replicates each, different fractions of cells	GSE24422	log	GPL570
GSE24422b	Insulin	hMSC adipocytes, adipocyte fraction	BTO:0003298	treated with 20 nM Insulin	activating	5 h	2 replicates each, different fractions of cells	GSE24422	log	GPL570
GSE24422c	Insulin	hMSC adipocytes, stromal fraction	BTO:0003298	treated with 20 nM Insulin	activating	5 h	2 replicates each, different fractions of cells	GSE24422	log	GPL570
GSE26834	Insulin	MCF-7 breast cancer cells	BTO:0000093	treated with IGF-1	activating	3 h	2 replicates for control, 3 replicates for treatment	GSE26834	log	GPL571
GSE30524	Insulin	RPMI 8266 cells	BTO:0000726	treated with 0.375µM picropodophyllin, IGF1R inhibitor	inhibiting	6 h	1 replicate each	GSE30524	log	GPL570
GSE9105a	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105b	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105c	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105d	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105e	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105f	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105g	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105h	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105i	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105j	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105k	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105l	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105m	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105n	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105o	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105p	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105q	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105r	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105s	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105t	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105u	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105v	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105w	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105x	Insulin	primary muscle cells	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE10685	JAK-STAT	skeletal muscle biopsies	BTO:0001103	patients treated with IL-6 infusion	activating	3 h	3 donors	GSE10685	nolog	GPL570
GSE12664	JAK-STAT	A549 cells	BTO:0000018	treated with IFNb	activating	6 h	3 replicates	GSE12664	log	GPL6480
GSE1432a	JAK-STAT	primary human microglial cells Y20	BTO:0000078	treated with IFN-gamma (respective timecontrol)	activating	1 h	NA	GSE1432	log	GPL96
GSE1432b	JAK-STAT	primary human microglial cells B18	BTO:0000078	treated with IFN-gamma (respective timecontrol)	activating	1 h	NA	GSE1432	log	GPL96
GSE1432c	JAK-STAT	primary human microglial cells W	BTO:0000078	treated with IFN-gamma (respective timecontrol)	activating	1 h	NA	GSE1432	log	GPL96
GSE1432d	JAK-STAT	primary human microglial cells O	BTO:0000078	treated with IFN-gamma (respective timecontrol)	activating	1 h	NA	GSE1432	log	GPL96
GSE14632a	JAK-STAT	HepG2 hepatocarcinoma cell line	BTO:0000599	treated with 20ng/ml IL-6	activating	1 h	2 replicates, part of timeseries, 4h serum starvation before treatment	GSE14632	log	GPL6104
GSE14632b	JAK-STAT	HepG2 hepatocarcinoma cell line	BTO:0000599	treated with 20ng/ml IL-6	activating	2 h	2 replicates, part of timeseries, 4h serum starvation before treatment	GSE14632	log	GPL6104
GSE14632c	JAK-STAT	HepG2 hepatocarcinoma cell line	BTO:0000599	treated with 20ng/ml IL-6	activating	4 h	2 replicates, part of timeseries, 4h serum starvation before treatment	GSE14632	log	GPL6104
GSE15743a	JAK-STAT	primary NK cells	BTO:0000914	treated with 1 ng/ml IFNa-2b	activating	6 h	1 replicate, 2 concentrations	GSE15743	none	GPL570
GSE15743b	JAK-STAT	primary NK cells	BTO:0000914	treated with 100 ng/ml IFNa-2b	activating	6 h	1 replicate, 2 concentrations	GSE15743	none	GPL570
GSE16251a	JAK-STAT	primary PBMCs	BTO:0001025	treated with IFNa	activating	4 h	1 replicate, timerespective control, part of time	GSE16251	log	GPL8601
GSE16251b	JAK-STAT	primary PBMCs	BTO:0001025	treated with IFNa	activating	0.5 h	1 replicate, timerespective control, part of time	GSE16251	log	GPL8601
GSE16251c	JAK-STAT	primary PBMCs	BTO:0001025	treated with IIL12	activating	0.5 h	1 replicate, timerespective control, part of time	GSE16251	log	GPL8601
GSE16251d	JAK-STAT	primary PBMCs	BTO:0001025	treated with IIL12	activating	1 h	1 replicate, timerespective control, part of time	GSE16251	log	GPL8601
GSE16251e	JAK-STAT	primary PBMCs	BTO:0001025	treated with IIL12	activating	4 h	1 replicate, timerespective control, part of time	GSE16251	log	GPL8601
GSE16252a	JAK-STAT	primary PBMCs	BTO:0001025	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252b	JAK-STAT	primary PBMCs	BTO:0001025	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252c	JAK-STAT	primary PBMCs	BTO:0001025	treated with 0.6 pM IFNg	activating	2 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252d	JAK-STAT	primary PBMCs	BTO:0001025	treated with 0.6 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252e	JAK-STAT	primary PBMCs	BTO:0001025	treated with 60 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252f	JAK-STAT	primary PBMCs	BTO:0001025	treated with 60 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252g	JAK-STAT	primary PBMCs	BTO:0001025	treated with 60 pM IFNg	activating	2 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252h	JAK-STAT	primary PBMCs	BTO:0001025	treated with 60 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252i	JAK-STAT	primary PBMCs	BTO:0001025	treated with 0.006 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252j	JAK-STAT	primary PBMCs	BTO:0001025	treated with 0.006 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252k	JAK-STAT	primary PBMCs	BTO:0001025	treated with 0.006 pM IFNg	activating	2 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
