ID	GSE	SUBSET	GSM	GPL	SOFT_NUMSPACE	AVAIL	FILE	PATHWAY	CELLS	EFFECT	TREATMENT	TIME	COMMENT
ARR00012	GSE22463	GSE22463h	GSM558042	GPL6244	log	raw	CELS/GSE22463/GSM558042.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00013	GSE21800	GSE21800a	GSM542925	GPL6244	log	raw	CELS/GSE21800/GSM542925.CEL	H2O2	4 lymphoid cell lines pooled	control	treated with 9 µM H2O2	4 h	1 replicate each, time respective control
ARR00014	GSE21800	GSE21800a	GSM542926	GPL6244	log	raw	CELS/GSE21800/GSM542926.CEL	H2O2	4 lymphoid cell lines pooled	activating	treated with 9 µM H2O2	4 h	1 replicate each, time respective control
ARR00015	GSE22463	GSE22463b	GSM558028	GPL6244	log	raw	CELS/GSE22463/GSM558028.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00016	GSE22463	GSE22463b	GSM558036	GPL6244	log	raw	CELS/GSE22463/GSM558036.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00017	GSE22463	GSE22463j	GSM558028	GPL6244	log	raw	CELS/GSE22463/GSM558028.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00018	GSE22463	GSE22463j	GSM558044	GPL6244	log	raw	CELS/GSE22463/GSM558044.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00019	GSE5339	GSE5339b	GSM120309	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	control	H2O2 treatment	4 h	time series 1, 4, 12, 24 h
ARR00020	GSE5339	GSE5339b	GSM120310	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	control	H2O2 treatment	4 h	time series 1, 4, 12, 24 h
ARR00021	GSE5339	GSE5339b	GSM120311	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	control	H2O2 treatment	4 h	time series 1, 4, 12, 24 h
ARR00022	GSE5339	GSE5339b	GSM120324	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	activating	H2O2 treatment	4 h	time series 1, 4, 12, 24 h
ARR00023	GSE5339	GSE5339b	GSM120325	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	activating	H2O2 treatment	4 h	time series 1, 4, 12, 24 h
ARR00024	GSE5339	GSE5339b	GSM120326	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	activating	H2O2 treatment	4 h	time series 1, 4, 12, 24 h
ARR00025	GSE22463	GSE22463n	GSM558032	GPL6244	log	raw	CELS/GSE22463/GSM558032.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00026	GSE22463	GSE22463n	GSM558048	GPL6244	log	raw	CELS/GSE22463/GSM558048.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00027	GSE22463	GSE22463m	GSM558031	GPL6244	log	raw	CELS/GSE22463/GSM558031.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00028	GSE22463	GSE22463m	GSM558047	GPL6244	log	raw	CELS/GSE22463/GSM558047.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00029	GSE22463	GSE22463f	GSM558032	GPL6244	log	raw	CELS/GSE22463/GSM558032.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00030	GSE22463	GSE22463f	GSM558040	GPL6244	log	raw	CELS/GSE22463/GSM558040.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00031	GSE22463	GSE22463g	GSM558033	GPL6244	log	raw	CELS/GSE22463/GSM558033.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00032	GSE22463	GSE22463g	GSM558041	GPL6244	log	raw	CELS/GSE22463/GSM558041.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00033	GSE22463	GSE22463c	GSM558029	GPL6244	log	raw	CELS/GSE22463/GSM558029.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00034	GSE22463	GSE22463c	GSM558037	GPL6244	log	raw	CELS/GSE22463/GSM558037.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00035	GSE21800	GSE21800c	GSM542925	GPL6244	log	raw	CELS/GSE21800/GSM542925.CEL	H2O2	4 lymphoid cell lines pooled	control	treated with 900 µM H2O2	4 h	1 replicate each, time respective control
ARR00036	GSE21800	GSE21800c	GSM542928	GPL6244	log	raw	CELS/GSE21800/GSM542928.CEL	H2O2	4 lymphoid cell lines pooled	activating	treated with 900 µM H2O2	4 h	1 replicate each, time respective control
ARR00037	GSE21800	GSE21800b	GSM542925	GPL6244	log	raw	CELS/GSE21800/GSM542925.CEL	H2O2	4 lymphoid cell lines pooled	control	treated with 90 µM H2O2	4 h	1 replicate each, time respective control
ARR00038	GSE21800	GSE21800b	GSM542927	GPL6244	log	raw	CELS/GSE21800/GSM542927.CEL	H2O2	4 lymphoid cell lines pooled	activating	treated with 90 µM H2O2	4 h	1 replicate each, time respective control
ARR00039	GSE22463	GSE22463d	GSM558030	GPL6244	log	raw	CELS/GSE22463/GSM558030.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00040	GSE22463	GSE22463d	GSM558038	GPL6244	log	raw	CELS/GSE22463/GSM558038.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00041	GSE22463	GSE22463p	GSM558034	GPL6244	log	raw	CELS/GSE22463/GSM558034.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00042	GSE22463	GSE22463p	GSM558050	GPL6244	log	raw	CELS/GSE22463/GSM558050.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00043	GSE5339	GSE5339a	GSM120303	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	control	H2O2 treatment	1 h	time series 1, 4, 12, 24 h
ARR00044	GSE5339	GSE5339a	GSM120304	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	control	H2O2 treatment	1 h	time series 1, 4, 12, 24 h
ARR00045	GSE5339	GSE5339a	GSM120305	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	control	H2O2 treatment	1 h	time series 1, 4, 12, 24 h
ARR00046	GSE5339	GSE5339a	GSM120318	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	activating	H2O2 treatment	1 h	time series 1, 4, 12, 24 h
ARR00047	GSE5339	GSE5339a	GSM120319	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	activating	H2O2 treatment	1 h	time series 1, 4, 12, 24 h
ARR00048	GSE5339	GSE5339a	GSM120320	GPL571	log	raw	NA	H2O2	ATCC 16Lu ( human lung fibroblasts)	activating	H2O2 treatment	1 h	time series 1, 4, 12, 24 h
ARR00049	GSE22463	GSE22463l	GSM558030	GPL6244	log	raw	CELS/GSE22463/GSM558030.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00050	GSE22463	GSE22463l	GSM558046	GPL6244	log	raw	CELS/GSE22463/GSM558046.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00051	GSE32441	GSE32441b	GSM802713	GPL4133	log	raw	NA	Trail	HT1080 fibrosarcoma cells	control	treated with 50 ng/ml TRAIL	6 h	1 replicate each, control and treated cells were additionally treated with 4 µg/ml trabectedin
ARR00052	GSE32441	GSE32441b	GSM802715	GPL4133	log	raw	NA	Trail	HT1080 fibrosarcoma cells	activating	treated with 50 ng/ml TRAIL	6 h	1 replicate each, control and treated cells were additionally treated with 4 µg/ml trabectedin
ARR00053	GSE8346	GSE8346	GSM206809	GPL571	log	raw	CELS/GSE8346/GSM206809.CEL	Trail	T4-2 breat epithelial cells	control	treated with 1 µg/ml TRAIL	4 h	4 replicates each, contain control vector, 3D culture
ARR00054	GSE8346	GSE8346	GSM206827	GPL571	log	raw	CELS/GSE8346/GSM206827.CEL	Trail	T4-2 breat epithelial cells	control	treated with 1 µg/ml TRAIL	4 h	4 replicates each, contain control vector, 3D culture
ARR00055	GSE8346	GSE8346	GSM206828	GPL571	log	raw	CELS/GSE8346/GSM206828.CEL	Trail	T4-2 breat epithelial cells	control	treated with 1 µg/ml TRAIL	4 h	4 replicates each, contain control vector, 3D culture
ARR00056	GSE8346	GSE8346	GSM206829	GPL571	log	raw	CELS/GSE8346/GSM206829.CEL	Trail	T4-2 breat epithelial cells	control	treated with 1 µg/ml TRAIL	4 h	4 replicates each, contain control vector, 3D culture
ARR00057	GSE8346	GSE8346	GSM206834	GPL571	log	raw	CELS/GSE8346/GSM206834.CEL	Trail	T4-2 breat epithelial cells	activating	treated with 1 µg/ml TRAIL	4 h	4 replicates each, contain control vector, 3D culture
ARR00058	GSE8346	GSE8346	GSM206835	GPL571	log	raw	CELS/GSE8346/GSM206835.CEL	Trail	T4-2 breat epithelial cells	activating	treated with 1 µg/ml TRAIL	4 h	4 replicates each, contain control vector, 3D culture
ARR00059	GSE8346	GSE8346	GSM206836	GPL571	log	raw	CELS/GSE8346/GSM206836.CEL	Trail	T4-2 breat epithelial cells	activating	treated with 1 µg/ml TRAIL	4 h	4 replicates each, contain control vector, 3D culture
ARR00060	GSE8346	GSE8346	GSM206837	GPL571	log	raw	CELS/GSE8346/GSM206837.CEL	Trail	T4-2 breat epithelial cells	activating	treated with 1 µg/ml TRAIL	4 h	4 replicates each, contain control vector, 3D culture
ARR00061	GSE32441	GSE32441c	GSM802721	GPL4133	log	raw	NA	Trail	HT1080 fibrosarcoma cells	control	treated with 50 ng/ml TRAIL	6 h	1 replicate each, control and treated cells were additionally treated with 1.5 µg/ml mafosfamide
ARR00062	GSE32441	GSE32441c	GSM802723	GPL4133	log	raw	NA	Trail	HT1080 fibrosarcoma cells	activating	treated with 50 ng/ml TRAIL	6 h	1 replicate each, control and treated cells were additionally treated with 1.5 µg/ml mafosfamide
ARR00063	GSE32441	GSE32441a	GSM802717	GPL4133	log	raw	NA	Trail	HT1080 fibrosarcoma cells	control	treated with 50 ng/ml TRAIL	6 h	1 replicate each, control and treated cells were additionally treated with 0.25 µg/ml doxorubicin
ARR00064	GSE32441	GSE32441a	GSM802719	GPL4133	log	raw	NA	Trail	HT1080 fibrosarcoma cells	activating	treated with 50 ng/ml TRAIL	6 h	1 replicate each, control and treated cells were additionally treated with 0.25 µg/ml doxorubicin
ARR00065	GSE30240	GSE30240c	GSM748833	GPL570	log	raw	CELS/GSE30240/GSM748833.CEL	p53	HepG2 cells	control	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00066	GSE30240	GSE30240c	GSM748834	GPL570	log	raw	CELS/GSE30240/GSM748834.CEL	p53	HepG2 cells	control	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00067	GSE30240	GSE30240c	GSM748835	GPL570	log	raw	CELS/GSE30240/GSM748835.CEL	p53	HepG2 cells	control	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00068	GSE30240	GSE30240c	GSM748839	GPL570	log	raw	CELS/GSE30240/GSM748839.CEL	p53	HepG2 cells	activating	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00069	GSE30240	GSE30240c	GSM748840	GPL570	log	raw	CELS/GSE30240/GSM748840.CEL	p53	HepG2 cells	activating	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00070	GSE30240	GSE30240c	GSM748841	GPL570	log	raw	CELS/GSE30240/GSM748841.CEL	p53	HepG2 cells	activating	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00071	GSE12666	GSE12666d	GSM318069	GPL571	log	normalized	CELS/GSE12666/GSM318069.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-21, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00072	GSE12666	GSE12666d	GSM318070	GPL571	log	normalized	CELS/GSE12666/GSM318070.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-21, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00073	GSE12666	GSE12666d	GSM318071	GPL571	log	normalized	CELS/GSE12666/GSM318071.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-21, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00074	GSE12666	GSE12666d	GSM318072	GPL571	log	normalized	CELS/GSE12666/GSM318072.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-21, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00075	GSE12666	GSE12666d	GSM318057	GPL571	log	normalized	CELS/GSE12666/GSM318057.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-21, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00076	GSE12666	GSE12666d	GSM318058	GPL571	log	normalized	CELS/GSE12666/GSM318058.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-21, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00077	GSE12666	GSE12666d	GSM318059	GPL571	log	normalized	CELS/GSE12666/GSM318059.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-21, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00078	GSE12666	GSE12666d	GSM318060	GPL571	log	normalized	CELS/GSE12666/GSM318060.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-21, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00079	GSE30240	GSE30240j	GSM749874	GPL570	log	raw	CELS/GSE30240/GSM749874.CEL	p53	BJ cells	control	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00080	GSE30240	GSE30240j	GSM749875	GPL570	log	raw	CELS/GSE30240/GSM749875.CEL	p53	BJ cells	control	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00081	GSE30240	GSE30240j	GSM749876	GPL570	log	raw	CELS/GSE30240/GSM749876.CEL	p53	BJ cells	control	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00082	GSE30240	GSE30240j	GSM749883	GPL570	log	raw	CELS/GSE30240/GSM749883.CEL	p53	BJ cells	activating	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00083	GSE30240	GSE30240j	GSM749884	GPL570	log	raw	CELS/GSE30240/GSM749884.CEL	p53	BJ cells	activating	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00084	GSE30240	GSE30240j	GSM749885	GPL570	log	raw	CELS/GSE30240/GSM749885.CEL	p53	BJ cells	activating	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00085	GSE30240	GSE30240h	GSM748866	GPL570	log	raw	CELS/GSE30240/GSM748866.CEL	p53	U2OS cells	control	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00086	GSE30240	GSE30240h	GSM748867	GPL570	log	raw	CELS/GSE30240/GSM748867.CEL	p53	U2OS cells	control	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00087	GSE30240	GSE30240h	GSM748868	GPL570	log	raw	CELS/GSE30240/GSM748868.CEL	p53	U2OS cells	control	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00088	GSE30240	GSE30240h	GSM748872	GPL570	log	raw	CELS/GSE30240/GSM748872.CEL	p53	U2OS cells	activating	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00089	GSE30240	GSE30240h	GSM748873	GPL570	log	raw	CELS/GSE30240/GSM748873.CEL	p53	U2OS cells	activating	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00090	GSE30240	GSE30240h	GSM748874	GPL570	log	raw	CELS/GSE30240/GSM748874.CEL	p53	U2OS cells	activating	treated with 5 GY X-Ray irradiation	6 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00091	GSE12666	GSE12666f	GSM318069	GPL571	log	normalized	CELS/GSE12666/GSM318069.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-23, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00092	GSE12666	GSE12666f	GSM318070	GPL571	log	normalized	CELS/GSE12666/GSM318070.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-23, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00093	GSE12666	GSE12666f	GSM318071	GPL571	log	normalized	CELS/GSE12666/GSM318071.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-23, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00094	GSE12666	GSE12666f	GSM318072	GPL571	log	normalized	CELS/GSE12666/GSM318072.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-23, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00095	GSE12666	GSE12666f	GSM318065	GPL571	log	normalized	CELS/GSE12666/GSM318065.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-23, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00096	GSE12666	GSE12666f	GSM318066	GPL571	log	normalized	CELS/GSE12666/GSM318066.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-23, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00097	GSE12666	GSE12666f	GSM318067	GPL571	log	normalized	CELS/GSE12666/GSM318067.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-23, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00098	GSE12666	GSE12666f	GSM318068	GPL571	log	normalized	CELS/GSE12666/GSM318068.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-23, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00099	GSE30240	GSE30240a	GSM748818	GPL570	log	raw	CELS/GSE30240/GSM748818.CEL	p53	G361 cells	control	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00100	GSE30240	GSE30240a	GSM748819	GPL570	log	raw	CELS/GSE30240/GSM748819.CEL	p53	G361 cells	control	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00101	GSE30240	GSE30240a	GSM748820	GPL570	log	raw	CELS/GSE30240/GSM748820.CEL	p53	G361 cells	control	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00102	GSE30240	GSE30240a	GSM748824	GPL570	log	raw	CELS/GSE30240/GSM748824.CEL	p53	G361 cells	activating	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00103	GSE30240	GSE30240a	GSM748825	GPL570	log	raw	CELS/GSE30240/GSM748825.CEL	p53	G361 cells	activating	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00104	GSE30240	GSE30240a	GSM748826	GPL570	log	raw	CELS/GSE30240/GSM748826.CEL	p53	G361 cells	activating	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00105	GSE30240	GSE30240g	GSM748863	GPL570	log	raw	CELS/GSE30240/GSM748863.CEL	p53	U2OS cells	control	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00106	GSE30240	GSE30240g	GSM748864	GPL570	log	raw	CELS/GSE30240/GSM748864.CEL	p53	U2OS cells	control	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00107	GSE30240	GSE30240g	GSM748865	GPL570	log	raw	CELS/GSE30240/GSM748865.CEL	p53	U2OS cells	control	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00108	GSE30240	GSE30240g	GSM748869	GPL570	log	raw	CELS/GSE30240/GSM748869.CEL	p53	U2OS cells	activating	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00109	GSE30240	GSE30240g	GSM748870	GPL570	log	raw	CELS/GSE30240/GSM748870.CEL	p53	U2OS cells	activating	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00110	GSE30240	GSE30240g	GSM748871	GPL570	log	raw	CELS/GSE30240/GSM748871.CEL	p53	U2OS cells	activating	treated with 5 GY X-Ray irradiation	3 h	3 replicates each, part of time series, time respective control, 5 different tissues
ARR00111	GSE13291	GSE13291	GSM335410	GPL571	log	raw	CELS/GSE13291/GSM335410.CEL	p53	MCF7 cells	control	treated with 1 µM RITA, p53 activator	2 h	1 replicate each, RITA inhibits HDM2-p53 interaction
ARR00112	GSE13291	GSE13291	GSM335411	GPL571	log	raw	CELS/GSE13291/GSM335411.CEL	p53	MCF7 cells	activating	treated with 1 µM RITA, p53 activator	2 h	1 replicate each, RITA inhibits HDM2-p53 interaction
ARR00113	GSE23010	GSE23010	GSM567732	GPL6884	log	normalized	NA	p53	U2OS cells	control	treated with 5 GY X-Ray irradiation	4 h	3 replicates each, cells transfected with control sh RNA
ARR00114	GSE23010	GSE23010	GSM567740	GPL6884	log	normalized	NA	p53	U2OS cells	control	treated with 5 GY X-Ray irradiation	4 h	3 replicates each, cells transfected with control sh RNA
ARR00115	GSE23010	GSE23010	GSM567748	GPL6884	log	normalized	NA	p53	U2OS cells	control	treated with 5 GY X-Ray irradiation	4 h	3 replicates each, cells transfected with control sh RNA
ARR00116	GSE23010	GSE23010	GSM567733	GPL6884	log	normalized	NA	p53	U2OS cells	activating	treated with 5 GY X-Ray irradiation	4 h	3 replicates each, cells transfected with control sh RNA
ARR00117	GSE23010	GSE23010	GSM567741	GPL6884	log	normalized	NA	p53	U2OS cells	activating	treated with 5 GY X-Ray irradiation	4 h	3 replicates each, cells transfected with control sh RNA
ARR00118	GSE23010	GSE23010	GSM567749	GPL6884	log	normalized	NA	p53	U2OS cells	activating	treated with 5 GY X-Ray irradiation	4 h	3 replicates each, cells transfected with control sh RNA
ARR00119	GSE12666	GSE12666a	GSM318069	GPL571	log	normalized	CELS/GSE12666/GSM318069.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-7, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00120	GSE12666	GSE12666a	GSM318070	GPL571	log	normalized	CELS/GSE12666/GSM318070.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-7, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00121	GSE12666	GSE12666a	GSM318071	GPL571	log	normalized	CELS/GSE12666/GSM318071.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-7, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00122	GSE12666	GSE12666a	GSM318072	GPL571	log	normalized	CELS/GSE12666/GSM318072.CEL	p53	MCF7 cells	control	treated with 10 µM BMH-7, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00123	GSE12666	GSE12666a	GSM318045	GPL571	log	normalized	CELS/GSE12666/GSM318045.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-7, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00124	GSE12666	GSE12666a	GSM318046	GPL571	log	normalized	CELS/GSE12666/GSM318046.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-7, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
ARR00125	GSE12666	GSE12666a	GSM318047	GPL571	log	normalized	CELS/GSE12666/GSM318047.CEL	p53	MCF7 cells	activating	treated with 10 µM BMH-7, p53 activator	6 h	4 replicates each, lead compounds - mechanism of action unknown
