id	pathway	cells	BTO	treatment	effect	time	comment	GSE	norm	GPL
GSE3013c	Estrogen	skin	BTO:0001422	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013d	Estrogen	skin	BTO:0001422	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL91
GSE3013f	Estrogen	skin	BTO:0001422	treated with estradiol	activating	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013h	Estrogen	skin	BTO:0001422	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL91
GSE3013i	Estrogen	skin	BTO:0001422	treated with estradiol	activating	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013j	Estrogen	skin	BTO:0001422	treated with estradiol	activating	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013k	Estrogen	skin	BTO:0001422	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE3013l	Estrogen	skin	BTO:0001422	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
GSE30931	Estrogen	breast	BTO:0000093	treated with estrogen	activating	6 h	3 replicates each	GSE30931	log	GPL10558
GSE35287a	Estrogen	skin	BTO:0001422	treated with E2	activating	6 h	1 replicate each, 4 donors	GSE35287	normalized	GPL6244
GSE35287b	Estrogen	skin	BTO:0001422	treated with E2	activating	6 h	1 replicate each, 4 donors	GSE35287	normalized	GPL6244
GSE35287c	Estrogen	skin	BTO:0001422	treated with E2	activating	6 h	1 replicate each, 4 donors	GSE35287	normalized	GPL6244
GSE35287d	Estrogen	skin	BTO:0001422	treated with E2	activating	6 h	1 replicate each, 4 donors	GSE35287	normalized	GPL6244
GSE3834a	Estrogen	breast	BTO:0000093	treated with 10 nM estradiol	activating	1 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL96
GSE3834b	Estrogen	breast	BTO:0000093	treated with 10 nM estradiol	activating	2 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL96
GSE3834c	Estrogen	breast	BTO:0000093	treated with 10 nM estradiol	activating	4 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL96
GSE3834d	Estrogen	breast	BTO:0001248	treated with 10 nM estradiol	activating	1 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL570
GSE3834e	Estrogen	breast	BTO:0001248	treated with 10 nM estradiol	activating	2 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL570
GSE3834f	Estrogen	breast	BTO:0001248	treated with 10 nM estradiol	activating	4 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL570
GSE3834g	Estrogen	breast	BTO:0001932	treated with 10 nM estradiol	activating	2 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL570
GSE3834h	Estrogen	breast	BTO:0001932	treated with 10 nM estradiol	activating	4 h	2 replicates each, different cell lines, part of timeseries	GSE3834	log	GPL570
GSE5258Est	Estrogen	breast	BTO:0000093	treated with 10 nM estradiol	activating	6 h	1-2 replicates each	GSE5258	none	GPL96
GSE9936a	Estrogen	breast	BTO:0000093	treated with 6 nM estradiol	activating	4 h	3 replicates each, different treatments, contain control vectors	GSE9936	log	GPL96
GSE9936b	Estrogen	breast	BTO:0000093	treated with 6 nM genistein	activating	4 h	3 replicates each, different treatments, contain control vector	GSE9936	log	GPL96
GSE9936c	Estrogen	breast	BTO:0000093	treated with 300 nM genistein	activating	4 h	3 replicates each, different treatments, contain control vector	GSE9936	log	GPL96
GSE21800a	H2O2	lymphoid	BTO:0001586	treated with 9 µM H2O2	activating	4 h	1 replicate each, timerespective control	GSE21800	none	GPL6244
GSE21800b	H2O2	lymphoid	BTO:0001586	treated with 90 µM H2O2	activating	4 h	1 replicate each, timerespective control	GSE21800	none	GPL6244
GSE21800c	H2O2	lymphoid	BTO:0001586	treated with 900 µM H2O2	activating	4 h	1 replicate each, timerespective control	GSE21800	none	GPL6244
GSE22463a	H2O2	blood	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463b	H2O2	blood	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463c	H2O2	blood	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463d	H2O2	blood	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463e	H2O2	blood	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463f	H2O2	blood	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463g	H2O2	blood	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463h	H2O2	blood	BTO:0001025	treated with H2O2	activating	3 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463i	H2O2	blood	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463j	H2O2	blood	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463k	H2O2	blood	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463l	H2O2	blood	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463m	H2O2	blood	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463n	H2O2	blood	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463o	H2O2	blood	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE22463p	H2O2	blood	BTO:0001025	treated with H2O2	activating	6 h	1 replicate each, timeseries, 8 older individuals	GSE22463	none	GPL6244
GSE5339a	H2O2	lung	BTO:0000764	H2O2 treatment	activating	1 h	timeseries 1, 4, 12, 24 h	GSE5339	nolog	GPL571
GSE5339b	H2O2	lung	BTO:0000764	H2O2 treatment	activating	4 h	timeseries 1, 4, 12, 24 h	GSE5339	nolog	GPL571
GSE1056	Hypoxia	liver	BTO:0000972	treated with 1% oxygen hypoxia	activating	2 h	2 replicates each	GSE1056	none	GPL91
GSE17188a	Hypoxia	breast	BTO:0000815	treated with 1% oxygen hypoxia	activating	6 h	2 replicates each, different cell lines	GSE17188	log	GPL6480
GSE17188b	Hypoxia	breast	BTO:0000815	treated with 1% oxygen hypoxia	activating	6 h	2 replicates each, different cell lines	GSE17188	log	GPL6480
GSE18494a	Hypoxia	liver	BTO:0000599	treated with 0.5% oxygen hypoxia	activating	4 h	3 replicates each, different cell lines	GSE18494	normalized	GPL9419
GSE18494b	Hypoxia	brain	BTO:0002036	treated with 0.5% oxygen hypoxia	activating	4 h	3 replicates each, different cell lines	GSE18494	normalized	GPL9419
GSE18494c	Hypoxia	breast	BTO:0000815	treated with 0.5% oxygen hypoxia	activating	4 h	3 replicates each, different cell lines	GSE18494	normalized	GPL9419
GSE19123	Hypoxia	breast	BTO:0000093	treated with 1% oxygen hypoxia	activating	4 h	5 replicates each	GSE19123	normalized	GPL570
GSE25452	Hypoxia	kidney	BTO:0000007	treated with 1% oxygen hypoxia	activating	2 h	2 replicates each, contain control vector	GSE25452	normalized	GPL5188
GSE27813	Hypoxia	breast	BTO:0000093	treated with 1% oxygen hypoxia	activating	6 h	2 replicates each, contain control shRNA	GSE27813	normalized	GPL10558
GSE28603a	Hypoxia	connective tissue	BTO:0000443	treated with 1% oxygen hypoxia	activating	3 h	3 replicates each, part of timeseries	GSE28603	none	GPL570
GSE28603b	Hypoxia	connective tissue	BTO:0000443	treated with 1% oxygen hypoxia	activating	6 h	3 replicates each, part of timeseries	GSE28603	none	GPL570
GSE33521	Hypoxia	skin	BTO:0000567	treated with 1% oxygen hypoxia	activating	6 h	2 replicates each	GSE33521	normalized	GPL6480
GSE5258	Hypoxia	breast	BTO:0000093	treated with 0.1mM cobalt chloride	activating	6 h	3 replicates each, cobald cloride induces HIF1	GSE5258	none	GPL96
GSE22325	IL1	cardiovascular system	BTO:0001949	treated with 100U IL-1b	activating	4 h	1 replicate each	GSE22325	log	GPL570
GSE32390a	IL1	skin	BTO:0001255	treated with 20 ng/ml IL-1b	activating	4 h	1 replicate each, 3 donors	GSE32390	normalized	GPL10558
GSE32390b	IL1	skin	BTO:0001255	treated with 20 ng/ml IL-1b	activating	4 h	1 replicate each, 3 donors	GSE32390	normalized	GPL10558
GSE32390c	IL1	skin	BTO:0001255	treated with 20 ng/ml IL-1b	activating	4 h	1 replicate each, 3 donors	GSE32390	normalized	GPL10558
GSE8515IL1	IL1	leukocyte	BTO:0000801	with IL-1 (15 ng/ml)	activating	4 h	5 replicates each	GSE8515	log	GPL96
GSE9120a	IL1	skin	BTO:0000667	treated with 25 ng/ml human recombinant IL-1	activating	1 h		GSE9120	log	GPL571
GSE9120b	IL1	skin	BTO:0000667	treated with 25 ng/ml human recombinant IL-1	activating	4 h		GSE9120	log	GPL571
GSE973a	IL1	cardiovascular system	BTO:0001949	treated with 100 U/ml human IL-1	activating	0.5 h	timeseries 3 timepoints	GSE973	log	GPL96
GSE973b	IL1	cardiovascular system	BTO:0001949	treated with 100 U/ml human IL-1	activating	1 h	timeseries 3 timepoints	GSE973	log	GPL96
GSE973c	IL1	cardiovascular system	BTO:0001949	treated with 100 U/ml human IL-1	activating	2.5 h	timeseries 3 timepoints	GSE973	log	GPL96
GSE21727	Insulin	bone	BTO:0001700	treated with IGF-1	activating	2 h	3 replicates each	GSE21727	normalized	GPL6104
GSE21989a	Insulin	cardiovascular system	BTO:0001949	treated with Insulin	activating	0.66 h	1 replicate each, part of timeseries	GSE21989	normalized	GPL570
GSE21989b	Insulin	cardiovascular system	BTO:0001949	treated with Insulin	activating	1.66 h	1 replicate each, part of timeseries	GSE21989	normalized	GPL570
GSE21989c	Insulin	cardiovascular system	BTO:0001949	treated with Insulin	activating	3.33 h	1 replicate each, part of timeseries	GSE21989	normalized	GPL570
GSE21989d	Insulin	cardiovascular system	BTO:0001949	treated with Insulin	activating	5.66 h	1 replicate each, part of timeseries	GSE21989	normalized	GPL570
GSE24422a	Insulin	whole body	BTO:0003298	treated with 20 nM Insulin	activating	5 h	2 replicates each, different fractions of cells	GSE24422	log	GPL570
GSE24422b	Insulin	whole body	BTO:0003298	treated with 20 nM Insulin	activating	5 h	2 replicates each, different fractions of cells	GSE24422	log	GPL570
GSE24422c	Insulin	whole body	BTO:0003298	treated with 20 nM Insulin	activating	5 h	2 replicates each, different fractions of cells	GSE24422	log	GPL570
GSE26834	Insulin	breast	BTO:0000093	treated with IGF-1	activating	3 h	2 replicates for control, 3 replicates for treatment	GSE26834	log	GPL571
GSE30524	Insulin	skin	BTO:0000726	treated with 0.375µM picropodophyllin, IGF1R inhibitor	inhibiting	6 h	1 replicate each	GSE30524	log	GPL570
GSE9105a	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105b	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105c	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105d	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105e	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105f	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105g	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105h	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105i	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105j	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105k	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105l	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105m	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105n	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105o	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105p	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105q	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105r	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105s	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105t	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105u	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105v	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105w	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	0.5 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE9105x	Insulin	muscle	BTO:0001563	treated with euglycemic hyperinsulinemic clamp	activating	4 h	1 replicate each, part of timeseries, 12 donors	GSE9105	normalized	GPL96
GSE10685	JAK-STAT	muscle	BTO:0001103	patients treated with IL-6 infusion	activating	3 h	3 donors	GSE10685	nolog	GPL570
GSE12664	JAK-STAT	lung	BTO:0000018	treated with IFNb	activating	6 h	3 replicates	GSE12664	log	GPL6480
GSE1432a	JAK-STAT	brain	BTO:0000078	treated with IFN-gamma (respective timecontrol)	activating	1 h		GSE1432	log	GPL96
GSE1432b	JAK-STAT	brain	BTO:0000078	treated with IFN-gamma (respective timecontrol)	activating	1 h		GSE1432	log	GPL96
GSE1432c	JAK-STAT	brain	BTO:0000078	treated with IFN-gamma (respective timecontrol)	activating	1 h		GSE1432	log	GPL96
GSE1432d	JAK-STAT	brain	BTO:0000078	treated with IFN-gamma (respective timecontrol)	activating	1 h		GSE1432	log	GPL96
GSE14632a	JAK-STAT	liver	BTO:0000599	treated with 20ng/ml IL-6	activating	1 h	2 replicates, part of timeseries, 4h serum starvation before treatment	GSE14632	log	GPL6104
GSE14632b	JAK-STAT	liver	BTO:0000599	treated with 20ng/ml IL-6	activating	2 h	2 replicates, part of timeseries, 4h serum starvation before treatment	GSE14632	log	GPL6104
GSE14632c	JAK-STAT	liver	BTO:0000599	treated with 20ng/ml IL-6	activating	4 h	2 replicates, part of timeseries, 4h serum starvation before treatment	GSE14632	log	GPL6104
GSE15743a	JAK-STAT	leukocyte	BTO:0000914	treated with 1 ng/ml IFNa-2b	activating	6 h	1 replicate, 2 concentrations	GSE15743	none	GPL570
GSE15743b	JAK-STAT	leukocyte	BTO:0000914	treated with 100 ng/ml IFNa-2b	activating	6 h	1 replicate, 2 concentrations	GSE15743	none	GPL570
GSE16251a	JAK-STAT	blood	BTO:0001025	treated with IFNa	activating	4 h	1 replicate, timerespective control, part of time	GSE16251	log	GPL8601
GSE16251b	JAK-STAT	blood	BTO:0001025	treated with IFNa	activating	0.5 h	1 replicate, timerespective control, part of time	GSE16251	log	GPL8601
GSE16251c	JAK-STAT	blood	BTO:0001025	treated with IIL12	activating	0.5 h	1 replicate, timerespective control, part of time	GSE16251	log	GPL8601
GSE16251d	JAK-STAT	blood	BTO:0001025	treated with IIL12	activating	1 h	1 replicate, timerespective control, part of time	GSE16251	log	GPL8601
GSE16251e	JAK-STAT	blood	BTO:0001025	treated with IIL12	activating	4 h	1 replicate, timerespective control, part of time	GSE16251	log	GPL8601
GSE16252a	JAK-STAT	blood	BTO:0001025	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252b	JAK-STAT	blood	BTO:0001025	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252c	JAK-STAT	blood	BTO:0001025	treated with 0.6 pM IFNg	activating	2 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252d	JAK-STAT	blood	BTO:0001025	treated with 0.6 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252e	JAK-STAT	blood	BTO:0001025	treated with 60 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252f	JAK-STAT	blood	BTO:0001025	treated with 60 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252g	JAK-STAT	blood	BTO:0001025	treated with 60 pM IFNg	activating	2 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252h	JAK-STAT	blood	BTO:0001025	treated with 60 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252i	JAK-STAT	blood	BTO:0001025	treated with 0.006 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252j	JAK-STAT	blood	BTO:0001025	treated with 0.006 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252k	JAK-STAT	blood	BTO:0001025	treated with 0.006 pM IFNg	activating	2 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16252l	JAK-STAT	blood	BTO:0001025	treated with 0.006 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16253a	JAK-STAT	leukocyte	BTO:0000876	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253b	JAK-STAT	leukocyte	BTO:0000876	treated with 0.6 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253c	JAK-STAT	leukocyte	BTO:0000876	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253d	JAK-STAT	leukocyte	BTO:0000776	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253e	JAK-STAT	leukocyte	BTO:0000776	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253f	JAK-STAT	leukocyte	BTO:0000776	treated with 0.6 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253g	JAK-STAT	leukocyte	BTO:0002417	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253h	JAK-STAT	leukocyte	BTO:0002417	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253j	JAK-STAT	leukocyte	BTO:0000914	treated with 0.6 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253k	JAK-STAT	leukocyte	BTO:0000914	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253l	JAK-STAT	leukocyte	BTO:0000914	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253m	JAK-STAT	leukocyte	BTO:0000782	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253n	JAK-STAT	leukocyte	BTO:0000782	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
